==NUM-OF-OBJ==
|Server|PCPU,1|PMem,1|Sched,1|SCSI,1|Nfs,1|Vscsi,1|Net,1|Interrupt,1|Power,1|
|PCPU|LCPU,56|Core,28|Package,2|
|PMem|NUMANode,2|
|Sched|SchedGroup,1120|
|SchedGroup|GroupID,1|GroupName,system|VMNUMANodeMem,0|CPUClient,403|HiddenWorld,0|
|CPUClient|CPUClientID,65649|VCPUName,CmdCompl-40|
|CPUClient|CPUClientID,65650|VCPUName,CmdCompl-41|
|CPUClient|CPUClientID,65651|VCPUName,CmdCompl-42|
|CPUClient|CPUClientID,65652|VCPUName,CmdCompl-43|
|CPUClient|CPUClientID,65653|VCPUName,CmdCompl-44|
|CPUClient|CPUClientID,65654|VCPUName,CmdCompl-45|
|CPUClient|CPUClientID,65655|VCPUName,CmdCompl-46|
|CPUClient|CPUClientID,65656|VCPUName,CmdCompl-47|
|CPUClient|CPUClientID,65657|VCPUName,CmdCompl-48|
|CPUClient|CPUClientID,65658|VCPUName,CmdCompl-49|
|CPUClient|CPUClientID,65659|VCPUName,CmdCompl-50|
|CPUClient|CPUClientID,65660|VCPUName,CmdCompl-51|
|CPUClient|CPUClientID,65661|VCPUName,CmdCompl-52|
|CPUClient|CPUClientID,65662|VCPUName,CmdCompl-53|
|CPUClient|CPUClientID,65663|VCPUName,CmdCompl-54|
|CPUClient|CPUClientID,65664|VCPUName,CmdCompl-55|
|CPUClient|CPUClientID,65669|VCPUName,SCSI-GenPurpose-0|
|CPUClient|CPUClientID,65670|VCPUName,directMapUnmap|
|CPUClient|CPUClientID,65671|VCPUName,RCUWorld|
|CPUClient|CPUClientID,65708|VCPUName,systemSwapPDL|
|CPUClient|CPUClientID,65725|VCPUName,llswap defragmenter|
|CPUClient|CPUClientID,65726|VCPUName,gsSwapRefill|
|CPUClient|CPUClientID,65727|VCPUName,retireWld.0000|
|CPUClient|CPUClientID,65728|VCPUName,retireWld.0001|
|CPUClient|CPUClientID,65729|VCPUName,retireWld.0002|
|CPUClient|CPUClientID,65730|VCPUName,retireWld.0003|
|CPUClient|CPUClientID,65731|VCPUName,retireWld.0004|
|CPUClient|CPUClientID,65732|VCPUName,retireWld.0005|
|CPUClient|CPUClientID,65733|VCPUName,retireWld.0006|
|CPUClient|CPUClientID,65734|VCPUName,retireWld.0007|
|CPUClient|CPUClientID,65735|VCPUName,retireWld.0008|
|CPUClient|CPUClientID,65736|VCPUName,retireWld.0009|
